"site","Bog_marsh","Brownfield","Built.up","Decidious_forest","Grassland","Grassland_agri","Heathland","Orchard","Park","Pine_forest","Plantation","Shrub","Valley_forest","Arable"
91,0,0.000532284032301496,0.0240741418167918,0.325011772657548,0.0285416629832526,0.105113809444586,0.0230909707806074,0.0266538004851968,0,0.123200498649175,0.166849665893186,0.0860586489768329,0,0.0908727442805212
92,0,0,0.011199766340558,0.369759630146703,0.010607416405993,0.0572524884539532,0.038827557629754,0.145747743808602,0,0.0541852579625958,0.158426581081652,0.0468977293255353,0,0.107095828844654
93,0,0.0021374459380693,0.0651589222244531,0.431342531717542,0.0396681428887752,0.162237337240436,0.0100984173937175,0.0332618507675036,0,0.0378102023143404,0.0130238709094799,0.00714641440265011,0,0.198114864203033
94,0.000460577907068085,5.36345695605765e-05,0.116219257914816,0.0748716062293088,0.0337035082410466,0.595649054627625,0,0.0407945005445922,0.00117623790829464,0,0.00853991939630413,0.000298723183554131,0,0.12823297947783
95,0.00496064189525186,0.00030632225802739,0.0141566414621558,0.0305390092465266,0.0267520541806066,0.289441839774487,0.00359053629040705,0.00831870435859793,0,0,0.00118727529386297,0.00331022512374771,0.00195754621838228,0.615479203897947
96,0.0353042685468448,0,0,0.0978022487026296,0.0945719231317639,0.174459753386607,0,0.000383894056962029,0,0,0,0.00311714446308692,0.0480040759392415,0.546356691772864
97,0,0,0,0,0.000647332868270096,0,0,0.121325655034398,0,0,0,0.0513336104645198,0,0.826693401632813
98,0,0,5.45644603124573e-05,0,3.31855165988058e-07,0,0,0.234126485259233,0,0,0.0651540766423711,0.0105805119683603,0,0.690084029814557
99,0,0,0.21377087099144,0.0343545682564224,0,0.0676827671158969,0,0.190704873944577,0,0,0.0270655614158483,0.00488845541937942,0,0.461532902856435
100,0,0,0.341497332271642,0.00859024104778282,0.00105723100244653,0.0568521543270656,0,0.103109704226997,0.00682012500363714,0,0.0113228835842746,0.00105723100244653,0,0.469693097533708
101,0,0,0.0191040819785758,0,0,0,0,0.134165976500658,0,0,0,0,0,0.846729941520766
102,0,0,0.003237058907189,0.00260159419517024,0.00136410251489851,0.0298839008174288,0,0.168457457917292,0,0,0,0.00460450622753345,0,0.789851379420488
103,0,0,0.316254961110758,0.0016539800837324,0.00301177887937276,0.105281062548014,0,0.113811972133109,0,0,0.0145678776427367,0.00205182406467683,0,0.4433665435376
104,0,0,0.00848010222240568,0.00142676375714095,0.0092822293823788,0.00795380143977984,0,0.136929169727481,0,0,0.00363130681427588,0.00952389867126823,0.0191167332824114,0.803655994702858
105,0,0,0.0539163601639596,0.00147994769869438,0,0.0190086849426517,0,0.39784139825597,7.08342393715126e-05,0,0,0,0,0.527682774699353
106,0,0,0.0312917675287482,0,0,0.0237008568267916,0,0.542595158845622,0,0,0,0,0,0.402412216798838
107,0,0.00193168432072376,0.122179851494905,7.05947633129393e-05,0.000267949227187321,0.0251077699891871,0,0.31750374929605,0,0,0.00259600330957476,0.00109581393606893,0,0.529246583662991
108,0,0,0.165698018281976,0.00470144118450913,0.00272057721938471,0.0792831015440095,0,0.387547958387052,0,0.00610560179062488,0.00234854596171672,0.000376352885070217,0,0.351218402745657
109,0.0413253523562181,0.00516714753454226,0.22235108876457,0.00581485007494336,0.0170309614977561,0.074514823401023,0,0.290827365299392,0.00310997678724738,0,0.105997966827695,0.00390630250951204,0.023577069534941,0.20637709541216
110,0.0285957057343733,0,0.0355450575887609,0.00855465885841814,0.00892342929198402,0.072890022838973,0,0.0969841362320759,0,0,0.0442509184606333,0.0116040026149346,0.010322726435119,0.682329341944728
111,0,0,0.175783037992705,0.00380896199716131,0.00217228742985414,0.15272163216403,0,0.10498978463362,0,0,0.00495914354787587,0.00179059065910104,0,0.553774561575652
112,0,0.000406705676260033,0.1064890338225,0.00366522543621729,0.000530214910600398,0.242138858655324,0,0.0758062532625025,0,0,0.00471274325932525,0.00237491169276008,0,0.563876053284511
